MSMEG_0849	#DIV/0!
MSMEG_0850	0.487952704
MSMEG_0851	#DIV/0!
MSMEG_0852	0.436912681
MSMEG_0853	#DIV/0!
MSMEG_0854	0.295290765
MSMEG_0856	0.463718341
MSMEG_0855	0.39004534
MSMEG_0857	1.319917851
MSMEG_0859	2.934391344
MSMEG_0858	0.741180572
MSMEG_0860	0.607337066
MSMEG_0861	0.737931701
MSMEG_0862	0.924381519
MSMEG_0863	1.189505585
MSMEG_0864	0.461814721
MSMEG_0865	0.246676847
MSMEG_0867	0.888943294
MSMEG_0866	0.562915836
MSMEG_0868	#DIV/0!
MSMEG_0869	#DIV/0!
MSMEG_0870	0.211021613
MSMEG_0871	0.459754936
MSMEG_0872	#DIV/0!
MSMEG_0873	#DIV/0!
MSMEG_0874	0.643799335
MSMEG_0875	0.444356231
MSMEG_0877	0.841774006
MSMEG_0876	1.18596234
MSMEG_0878	0.309228259
MSMEG_0879	#DIV/0!
MSMEG_0880	1.576402802
MSMEG_0881	#DIV/0!
MSMEG_0882	1.312621934
MSMEG_0883	0.562182259
MSMEG_0884	2.391330454
MSMEG_0885	#DIV/0!
MSMEG_0886	0.321540271
MSMEG_0887	1.7396277
MSMEG_0888	#DIV/0!
MSMEG_0889	1.865317828
MSMEG_0890	1.374085067
MSMEG_0891	0.218113604
MSMEG_0892	0.534643289
MSMEG_0893	#DIV/0!
MSMEG_0894	1.692529785
MSMEG_0895	0.83134668
MSMEG_0896	1.083429093
MSMEG_0897	1.620612768
MSMEG_0898	1.100456422
MSMEG_0899	1.27207525
MSMEG_0900	2.210443186
MSMEG_0901	0.825112996
MSMEG_0902	1.487125995
MSMEG_0903	2.270183528
MSMEG_0904	0.407589015
MSMEG_0905	1.339665652
MSMEG_0906	0.65902515
MSMEG_0907	#DIV/0!
MSMEG_0908	#DIV/0!
MSMEG_0909	0.613307822
MSMEG_0910	#DIV/0!
MSMEG_0911	1.289321903
MSMEG_0912	1.671153242
MSMEG_0913	2.120437765
MSMEG_0914	0.401855862
MSMEG_0915	1.254801703
MSMEG_0916	0.364773515
MSMEG_0917	0.469612742
MSMEG_0918	0.557366897
MSMEG_0919	1.725265405
MSMEG_0920	2.204411857
MSMEG_0921	0.341196877
MSMEG_0922	0.730543386
MSMEG_0923	0.993413996
MSMEG_0924	0.833814866
MSMEG_0925	0.144385377
MSMEG_0926	0.398285161
MSMEG_0927	0.759043347
MSMEG_0928	0.311086601
MSMEG_0929	0.53009247
